City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
lufilufi,ws,28.15,78,3.6,90,-171.6,-13.87
faanui,pf,25.05,85,9.653,87,-151.75,-16.48
atuona,pf,26.1,74,5.388,0,-139.03,-9.8
san patricio,mx,32.15,75,4.1,75,-104.7,19.22
coahuayana,mx,29.63,68,1.133,65,-100.35,18.62
lazaro cardenas,mx,28.15,37,6.2,5,-105.62,28.39
ixtapa,mx,32.15,75,4.1,40,-105.21,20.71
puerto ayora,ec,25.15,57,10.8,0,-90.35,-0.74
san cristobal,ec,31.36,48,1.97,39,-79.44,-1.02
manta,ec,25.15,73,5.1,75,-80.73,-0.95
bahia de caraquez,ec,25.15,73,5.1,75,-80.42,-0.6
pedernales,ec,24.93,77,4.271,69,-80.05,0.07
santo domingo,ec,30.15,61,4.1,40,-80.3,-2.48
cayambe,ec,21.15,37,2.6,75,-78.14,0.04
nueva loja,ec,27.15,69,2.1,0,-76.88,0.08
puerto asis,co,27.15,69,2.1,100,-76.5,0.51
puerto leguizamo,co,26.38,79,1.21,94,-74.78,-0.19
miraflores,co,15.85,89,2.04,49,-73.14,5.2
mitu,co,29.45,66,1.206,95,-70.17,1.2
sao gabriel da cachoeira,br,33.81,44,1.84,10,-67.09,-0.13
santa isabel do rio negro,br,32.68,54,0.69,44,-65.02,-0.41
barcelos,br,27.62,77,2.46,100,-62.93,-0.97
boa vista,br,32.15,52,1,40,-60.67,2.82
urucara,br,26.33,80,3.113,57,-57.76,-2.54
oriximina,br,33.19,53,1.71,100,-55.87,-1.77
alenquer,br,30.15,70,3.1,20,-54.74,-1.95
prainha,br,31.5,52,1.8,100,-53.48,-1.8
almeirim,br,32.07,46,1.85,100,-52.58,-1.53
mazagao,br,31.15,62,7.2,40,-51.29,-0.12
macapa,br,31.15,62,7.2,40,-51.07,0.05
soure,br,28.51,67,4.68,100,-48.52,-0.72
curuca,br,31.13,58,0.63,100,-61.06,-2.52
salinopolis,br,27.68,76,9.54,32,-47.36,-0.61
viseu,br,27.33,79,9.565,100,-46.14,-1.2
carutapera,br,26.71,76,4.44,100,-46.02,-1.2
cururupu,br,25.54,75,1.87,100,-44.87,-1.82
tutoia,br,29.15,66,10.3,0,-42.27,-2.76
camocim,br,27.32,59,6.02,50,-40.84,-2.9
itarema,br,25.29,69,6.482,30,-39.92,-2.92
paracuru,br,27.15,65,8.2,0,-39.03,-3.41
caucaia,br,27.15,65,8.2,22,-38.66,-3.73
aquiraz,br,27.15,65,8.2,0,-38.39,-3.9
touros,br,26.15,74,4.1,40,-35.46,-5.2
georgetown,sh,23.0,80,9.09,100,-14.42,-7.93
monrovia,lr,25.15,94,5.6,75,-10.8,6.33
buchanan,lr,25.15,94,7.42,75,-10.05,5.88
harper,lr,23.51,91,1.938,43,-7.71,4.38
tabou,ci,23.5,91,1.94,43,-7.36,4.42
axim,gh,23.12,96,1.37,86,-2.24,4.87
takoradi,gh,24.64,90,3.589,97,-1.75,4.89
mumford,gh,23.11,96,1.37,96,-0.76,5.26
anloga,gh,27.15,83,5.1,20,0.9,5.79
port-gentil,ga,26.15,88,5.1,75,8.78,-0.72
libreville,ga,27.15,83,4.6,40,9.45,0.39
kango,ga,23.18,95,1.171,39,10.1,0.19
ndjole,ga,23.35,96,1.92,13,10.76,-0.18
booue,ga,22.87,93,1.12,36,11.94,-0.09
makokou,ga,21.77,90,0.677,42,12.85,0.56
ewo,cg,24.85,69,0.6,92,14.81,-0.88
owando,cg,23.3,84,0.3,18,15.91,-0.49
mbandaka,cd,22.23,96,0.769,97,18.26,0.05
boende,cd,22.5,89,1.14,100,20.88,-0.28
basoko,cd,20.3,99,0.57,94,23.61,1.23
yangambi,cd,20.46,99,0.65,98,24.47,0.77
kisangani,cd,20.24,99,0.22,96,25.21,0.52
butembo,cd,17.2,99,0.63,100,29.29,0.12
kilembe,ug,18.82,91,0.492,97,30.01,0.2
lyantonde,ug,18.04,77,1.436,35,31.15,-0.41
lukaya,ug,21.15,88,2.6,75,31.87,-0.15
lugazi,ug,21.15,88,2.6,75,32.94,0.37
ahero,ke,23.15,69,2.6,75,34.92,-0.17
rongai,ke,10.57,95,1.86,29,35.86,-0.17
nanyuki,ke,14.96,81,3.958,24,37.07,0.01
maua,ke,24.65,63,1.492,92,37.94,0.23
garissa,ke,26.2,71,6.71,77,39.64,-0.46
jamame,so,25.94,83,3.46,0,42.75,0.07
mogadishu,so,26.0,86,4.24,76,45.34,2.04
hobyo,so,27.02,76,3.516,40,48.53,5.35
victoria,sc,27.15,88,5.1,75,55.45,-4.62
thinadhoo,mv,27.33,74,4.08,3,72.93,0.53
matara,lk,24.26,93,1.794,84,80.54,5.95
hambantota,lk,27.05,81,4.98,100,81.12,6.12
meulaboh,id,26.36,78,2.136,100,96.13,4.14
sibolga,id,26.19,84,4.06,98,98.78,1.74
payakumbuh,id,19.21,96,1.13,89,100.63,-0.23
sijunjung,id,19.07,97,0.27,100,100.95,-0.69
kijang,id,25.15,88,1.4,90,104.63,0.9
sungairaya,id,27.88,77,3.68,100,108.9,0.7
pontianak,id,27.75,75,3.39,100,109.34,-0.02
sri aman,my,24.15,94,1.5,100,111.46,1.24
kapit,my,21.89,99,0.211,100,112.94,2.02
loa janan,id,23.19,98,1,77,117.09,-0.58
bontang,id,25.18,91,3.676,89,117.47,0.12
palu,id,22.98,91,1.35,17,119.87,-0.9
poso,id,19.36,76,1.75,87,120.75,-1.4
gorontalo,id,21.52,89,0.856,46,123.06,0.54
tondano,id,22.15,94,1,20,124.91,1.3
sorong,id,23.62,96,1.55,94,131.25,-0.86
manokwari,id,24.04,73,1.99,100,134.08,-0.87
biak,id,14.74,71,1.63,41,122.88,-0.91
vanimo,pg,27.02,80,3.57,100,141.3,-2.67
aitape,pg,28.29,78,4.188,100,142.36,-3.15
lorengau,pg,27.26,79,3.15,82,147.27,-2.02
kavieng,pg,29.46,73,6.063,0,150.8,-2.57
namatanai,pg,26.65,83,5.06,19,152.44,-3.66
kieta,pg,27.52,78,2.01,91,155.63,-6.22
buala,sb,27.94,77,1.21,74,159.59,-8.15
